Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-14,WIPRO,EQ,353.5,353.5,354.55,347.1,349.3,349.35,349.28,11501839,401738896280000.0,106951,6170558,0.5365
2020-12-15,WIPRO,EQ,349.35,349.3,353.9,347.5,352.7,352.7,351.95,7231781,254519878560000.0,72836,2845991,0.3935
2020-12-16,WIPRO,EQ,352.7,353.9,358.95,353.2,358.6,358.4,356.44,6666272,237612823280000.03,62089,3502841,0.5255
2020-12-17,WIPRO,EQ,358.4,358.4,359.25,355.5,356.45,356.9,357.27,4165371,148817658915000.0,50512,1851888,0.4446
2020-12-18,WIPRO,EQ,356.9,358.95,365.8,357.5,363.0,363.55,362.94,17398081,631438780855000.0,124882,5445627,0.313
2020-12-21,WIPRO,EQ,363.55,362.5,367.45,348.35,352.6,353.95,360.92,9665063,348833756910000.0,94354,2317832,0.2398
2020-12-22,WIPRO,EQ,353.95,354.0,365.7,349.45,364.35,364.2,357.14,8186039,292355312150000.0,86256,1788820,0.21850000000000003
2020-12-23,WIPRO,EQ,364.2,374.0,387.6,371.7,384.95,385.55,379.89,44874433,1704732599995000.0,339109,8913517,0.1986
2020-12-24,WIPRO,EQ,385.55,386.45,386.7,378.65,381.8,382.2,382.71,12240172,468445129960000.06,121303,2017851,0.1649
2020-12-28,WIPRO,EQ,382.2,383.45,386.4,382.0,383.0,382.9,384.06,4725879,181501895135000.0,52825,1133231,0.2398
2020-12-29,WIPRO,EQ,382.9,384.0,390.5,383.1,384.4,385.0,387.04,11459126,443510009960000.06,135489,1669549,0.1457
2020-12-30,WIPRO,EQ,385.0,385.0,386.6,382.8,384.6,384.4,384.43,7188435,276345142285000.0,79271,1504855,0.2093
2020-12-31,WIPRO,EQ,384.4,381.2,387.6,381.2,386.0,386.25,385.2,6394605,246322330419999.97,59928,2241382,0.3505
2021-01-01,WIPRO,EQ,386.25,385.05,390.75,385.05,387.5,388.1,388.0,5042336,195643438450000.0,67053,1214950,0.2409
2021-01-04,WIPRO,EQ,388.1,390.0,397.95,387.8,396.7,396.4,393.91,9755721,384284141110000.0,94914,3356855,0.34409999999999996
2021-01-05,WIPRO,EQ,396.4,394.1,409.8,393.5,405.5,406.3,403.28,25156747,1014529357115000.0,188362,8146042,0.32380000000000003
2021-01-06,WIPRO,EQ,406.3,405.0,417.4,403.3,405.9,406.4,410.04,22486300,922018489915000.0,193337,5485151,0.2439
2021-01-07,WIPRO,EQ,406.4,412.25,413.0,403.85,407.5,406.75,406.88,12344755,502283252455000.0,97582,3647681,0.29550000000000004
2021-01-08,WIPRO,EQ,406.75,407.5,432.65,407.25,428.0,430.2,423.56,40993230,1736300822695000.0,277996,10074049,0.2457
2021-01-11,WIPRO,EQ,430.2,436.0,451.0,435.0,447.05,446.8,444.84,47334018,2105621145425000.0,371366,11087896,0.23420000000000002
2021-01-12,WIPRO,EQ,446.8,447.95,460.75,442.4,460.7,457.7,451.3,22134465,998926032340000.0,223110,3722545,0.16820000000000002
2021-01-13,WIPRO,EQ,457.7,461.0,467.45,452.8,459.0,459.0,460.7,29190193,1344806648400000.0,362087,6942477,0.2378
2021-01-14,WIPRO,EQ,459.0,452.0,466.0,430.0,453.0,454.35,450.54,71551807,3223705999465000.0,529191,12075899,0.1688
2021-01-15,WIPRO,EQ,454.35,454.75,459.4,436.6,437.8,438.55,447.14,25307779,1131612568225000.0,214897,3774231,0.1491
2021-01-18,WIPRO,EQ,438.55,441.0,445.0,429.1,429.1,431.55,438.58,21510587,943420890595000.1,208931,3006002,0.13970000000000002
2021-01-19,WIPRO,EQ,431.55,433.0,439.55,427.7,433.0,430.25,432.24,15677790,677655473000000.0,132337,2989708,0.1907
